time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1777176420,77375,77390.8,77374.9,77390.8,77366.81869664423,77460.26122806087,81.63511066812785,59.78829104407373,,,,
1777176480,77390.7,77406.5,77390.7,77400.6,77374.32565294551,77460.04651982189,86.15396717836431,62.02709429813843,,,,
1777176540,77400.7,77400.7,77400.6,77400.6,77380.1643967354,77459.99912496634,86.15396717836431,61.59922242640677,,,,
1777176600,77400.6,77400.7,77397,77397,77383.90564190531,77459.9121382104,71.59357067157734,62.60097406898611,,,,
1777176660,77397,77435.2,77397,77430.1,77394.17105481525,77459.79560617363,91.47172240864364,64.06799241384283,,,,
1777176720,77430,77455,77430,77450.9,77406.77748707852,77459.69334137328,94.86127008707027,64.88497427010779,,,,
1777176780,77450.8,77454.4,77450,77450,77416.38248994996,77459.68012727104,92.47577336188635,68.87533666897193,,,,
1777176840,77450,77450.1,77432.8,77432.9,77420.05304773885,77459.63707017452,53.86847403083977,70.55133788928967,,,,
1777176900,77432.8,77444.4,77432.8,77444.4,77425.46348157467,77459.60967080038,67.53924608926008,72.26025001096488,,,,
1777176960,77444.5,77450,77438.7,77438.8,77428.42715233585,77459.56344242317,55.52116255632715,71.58845785019189,,,,
1777177020,77438.8,77438.8,77434.7,77438.2,77430.59889626122,77459.53800816079,53.97752111886411,71.02132754818983,,,,
1777177080,77438.3,77438.3,77437,77437,77432.02136375873,77459.50566668001,49.821957648313095,72.26809653295807,,,,
1777177140,77437.1,77445.3,77422.4,77445.2,77434.94994959013,77459.31313696312,71.95372332351118,73.47446349916561,,,,
1777177200,77445.2,77445.3,77444.8,77444.9,77437.16107190344,77459.28322222576,70.25325914511622,73.37719467616184,,,,
1777177260,77444.8,77444.9,77439.4,77444.2,77438.72527814712,77459.26102793332,64.88622032070205,72.18084536563141,,,,
1777177320,77444.2,77444.4,77444.2,77444.4,77439.98632744775,77459.24706108456,65.99943173496392,70.74123569110282,,,,
1777177380,77444.4,77444.4,77436.6,77444.3,77440.94492134826,77459.20432058652,64.46659442571827,69.19213763734238,,,,
1777177440,77444.3,77456,77438,77456,77444.29049438197,77459.15549369485,92.99970771589469,70.7211474262222,,,,
1777177500,77455.9,77456,77436.2,77436.3,77442.51482896376,77459.11120809703,30.71248775375433,66.38120209373012,,,,
1777177560,77436.2,77436.3,77430.6,77430.6,77439.86708919404,77459.08295200256,23.79556070511822,61.305079995019256,,,,
1777177620,77430.6,77434.2,77430.2,77434.2,77438.6077360398,77459.06496370322,37.19562802694337,57.356498185380474,,,,
1777177680,77434.1,77434.2,77430.1,77430.2,77436.73935025318,77458.99809401573,28.76530161842416,55.5634144416365,,,,
1777177740,77430.1,77430.2,77430.1,77430.2,77435.28616130803,77458.95276190896,28.76530161842416,52.793846979433944,,,,
1777177800,77430.1,77430.2,77379,77395.3,77426.40034768403,77458.16481844829,5.278628075595904,49.20509451652456,,,,
1777177860,77395.3,77405.4,77392.5,77401.5,77420.86693708757,77458.04200424685,22.204932984281214,46.93562393548292,,,,
1777177920,77401.5,77401.6,77401.3,77401.4,77416.5409510681,77457.95979815313,22.10934799730066,44.95615181755347,,,,
1777177980,77401.4,77401.4,77387.5,77387.6,77410.10962860852,77457.83347473442,11.691464717474119,40.651704774265106,,,,
1777178040,77387.6,77400.1,77387.5,77400.1,77407.88526669552,77457.53566456435,46.160385173798055,38.93078520488523,,,,
1777178100,77400.1,77401.4,77400,77401.4,77406.44409631874,77457.46880906278,49.25054526324039,37.8139512722094,,,,
1777178160,77401.3,77408.9,77400,77408.8,77406.96763047013,77457.37415194525,65.94157734877814,37.80981881605327,,,,
1777178220,77408.8,77425.5,77408.8,77425.5,77411.0859348101,77457.3313281445,83.88407815849598,39.196781939823104,,,,
1777178280,77425.5,77425.5,77425.4,77425.4,77414.26683818562,77457.2911285895,83.4890185874944,38.51744700208023,,,,
1777178340,77425.5,77425.5,77411.7,77411.7,77413.69642969992,77457.25300384863,42.427148632913344,39.35420849344872,,,,
1777178400,77411.8,77470.1,77411.7,77470,77426.20833421106,77457.13538800346,86.09154604331403,43.803921731891286,,,,
1777178460,77470.1,77474.8,77450.1,77474.8,77437.00648216416,77457.18743694734,87.28270173659432,47.38156985400922,,,,
1777178520,77474.8,77480.1,77474.8,77480.1,77446.58281946101,77457.24596573766,88.86250525629679,51.6742272567144,,,,
1777178580,77480.1,77488.8,77467.3,77482.2,77454.49774846967,77457.33176076463,89.62826793020052,56.02158199326986,,,,
1777178640,77482.2,77482.2,77472.8,77472.9,77458.58713769863,77457.35636776841,61.526937002129614,60.03931834516512,,,,
