sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
46321,46322,46391,short,B,39834.3,357.54349935685605,2.0,0.13592149231468922,1.8640785076853108,4,1651696200,1651758300
46695,46696,46701,long,B,34063.7,338.55073798515514,2.0,0.10061623319070606,1.8993837668092939,0,1652032800,1652037300
46754,46755,46761,long,B,33368.0,217.80394179856376,-1.0,0.15320200233501943,-1.1532020023350193,0,1652085900,1652091300
46774,46775,46778,long,B,33160.0,662.1079435342399,-1.0,0.05008246815918949,-1.0500824681591896,0,1652103900,1652106600
46799,46800,46816,long,B,30930.2,972.155366754745,-1.0,0.03356599378649753,-1.0335659937864976,1,1652126400,1652140800
46947,46948,46962,long,B,31392.7,1392.3181563837388,-1.0,0.023787162688462378,-1.0237871626884625,1,1652259600,1652272200
47037,47038,48819,long,B,28245.8,1784.9998873991317,2.0,0.11329968669895973,1.8867003133010403,112,1652340600,1653945300
47264,47265,47267,long,B,28879.7,293.05340990520926,2.0,0.09854756513272238,1.9014524348672777,0,1652544900,1652546700
48222,48223,48404,long,B,29270.0,500.8686695240722,-1.0,0.09700786444911545,-1.0970078644491155,12,1653407100,1653570000
48459,48460,48470,long,B,28974.9,291.1743646603427,-1.0,0.10498355353383679,-1.1049835535338368,1,1653620400,1653629400
48884,48885,48893,short,B,31367.6,586.0181381447837,-1.0,0.05352667086261792,-1.0535266708626179,0,1654004700,1654011900
49089,49090,49110,short,B,30275.9,253.73467292126588,-1.0,0.12588375933119456,-1.1258837593311946,1,1654189200,1654207200
49436,49437,49440,short,B,31189.5,246.91918412382438,-1.0,0.1332619116524333,-1.1332619116524334,1,1654501500,1654504200
49866,49867,49922,long,B,29033.2,215.86056402144823,-1.0,0.1640897408036077,-1.1640897408036077,4,1654888500,1654938000
50039,50040,50043,long,B,27441.6,332.2442538105497,2.0,0.0825946564470836,1.9174053435529164,0,1655044200,1655046900
50117,50118,50125,long,B,24038.4,519.5342256008589,-1.0,0.046269136498560376,-1.0462691364985603,0,1655114400,1655120700
50126,50127,50136,long,B,24340.9,1101.8665688116926,-1.0,0.022090605785644656,-1.0220906057856447,0,1655122500,1655130600
50131,50132,50132,long,B,23403.0,156.54382298032579,2.0,0.14949807379459015,1.8505019262054099,0,1655127000,1655127000
50291,50292,50292,long,B,20882.9,136.79455043069174,-1.0,0.15265885910111984,-1.1526588591011198,0,1655271000,1655271000
