time,open,high,low,close,Smoothed Heiken Ashi (Open),Smoothed Heiken Ashi (High,Smoothed Heiken Ashi (Low),Smoothed Heiken Ashi (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close),Mny Flow
1773850500,1.4393,1.4407,1.4363,1.4392,1.4524032495279569,1.4530537199830975,1.4443891828829278,1.4479772995129776,1.4415887739735285,1.4415887739735285,1.4363,1.438875,1.4415887739735285,1.4415887739735285,1.4363,1.438875,-40.12978942220197
1773851400,1.4391,1.4433,1.4346,1.4429,1.4501902745204673,1.4512803163498071,1.4426093314496682,1.4465223359651636,1.4402318869867643,1.4433,1.4346,1.439975,1.4402318869867643,1.4433,1.4346,1.439975,-38.91142733134991
1773852300,1.4429,1.4464,1.4407,1.4416,1.4483563052428154,1.4503929861043876,1.4421537154576163,1.445863729426043,1.4401034434933822,1.4464,1.4401034434933822,1.4429,1.4401034434933822,1.4464,1.4401034434933822,1.4429,-37.553593977487715
1773853200,1.4416,1.4428,1.4394,1.4401,1.4471100173344291,1.4490124431763172,1.441653039919868,1.4449748695303988,1.441501721746691,1.4428,1.4394,1.4409750000000001,1.441501721746691,1.4428,1.4394,1.4409750000000001,-40.410979031206956
1773854100,1.4402,1.4488,1.439,1.4482,1.446042443432414,1.4489738171442594,1.4411706690253465,1.4448067114339627,1.4412383608733457,1.4488,1.439,1.44405,1.4412383608733457,1.4488,1.439,1.44405,-38.629604069035814
1773855000,1.4482,1.4548,1.4458,1.4539,1.4454245774331882,1.4500331231180306,1.441438580191042,1.4458736729914239,1.4426441804366728,1.4548,1.4426441804366728,1.450675,1.4426441804366728,1.4548,1.4426441804366728,1.450675,-37.97291493286436
1773855900,1.454,1.4583,1.4535,1.4556,1.445649125212306,1.451536191642025,1.4423878547414593,1.4475966415384378,1.4466595902183363,1.4583,1.4466595902183363,1.4553500000000001,1.4466595902183363,1.4583,1.4466595902183363,1.4553500000000001,-36.985539661767255
1773856800,1.4556,1.4659,1.4551,1.4636,1.4466228833753718,1.4541477931616569,1.4439545711719517,1.449860888531449,1.4510047951091682,1.4659,1.4510047951091682,1.4600499999999998,1.4510047951091682,1.4659,1.4510047951091682,1.4600499999999998,-35.35224629235197
1773857700,1.4636,1.4636,1.4543,1.4585,1.4482418859534103,1.4558663762231738,1.445835558231597,1.4517043633439128,1.455527397554584,1.4636,1.4543,1.46,1.455527397554584,1.4636,1.4543,1.46,-36.45925029081447
1773858600,1.4584,1.4643,1.4571,1.4611,1.4499731246486616,1.457399762364415,1.4478836385531249,1.453253570008656,1.457763698777292,1.4643,1.4571,1.4602249999999999,1.457763698777292,1.4643,1.4571,1.4602249999999999,-36.91483281714284
