cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
fund_lt_-0.10pct,1,1.0,111,68,11,0.5045045045045045,0.5108526573891082,-0.6348152884603775,-0.032691383552538665,-0.2547918389987937,0.1472701222203386,0.72375,101,0.504950495049505,-0.032317617907443225,10,0.5,-0.03646641656800259,43.56531531531532
fund_lt_-0.10pct,1,2.0,89,59,11,0.3977272727272727,0.3461611769760881,5.156609575118459,0.12715843713268205,-0.16543049245902308,0.33127125493791293,0.28625,81,0.4,0.13218325112543008,8,0.375,0.07628219545610732,112.67977528089888
cum3_top_decile,-1,0.25,8892,805,12,0.8021149735628305,0.8200662962054228,-1.795132264259236,-0.03761399881025339,-0.058703508652600836,-0.01617158440590884,0.99875,6529,0.8008883443100016,-0.036175710301536865,2363,0.8055084745762712,-0.04158800882862417,5.783710076473234
cum3_top_decile,-1,0.5,5884,778,12,0.665419288994727,0.6852562925191635,-1.9837003524436514,-0.04547292295556716,-0.08241094835616382,-0.006728227520846348,0.99,4265,0.6628370457209848,-0.046072716050374,1619,0.6722428748451054,-0.04389286270272513,11.399940516655336
cum3_top_decile,-1,0.75,4516,763,12,0.5688317446242518,0.5889669874548451,-2.0135242830593314,-0.05128145556660416,-0.10816035346963118,0.0025917726066604424,0.9675,3251,0.5653645032297755,-0.05388943612004012,1265,0.5777777777777777,-0.044579048626509056,16.8303808680248
cum3_top_decile,-1,1.0,3744,738,12,0.4969243113131853,0.5170285896835917,-2.010427837040635,-0.05656001825961442,-0.11471176894095705,0.013182334097934944,0.94875,2670,0.4898876404494382,-0.06673049188017298,1074,0.5144995322731525,-0.031275879929175535,22.76275373931624
cum3_top_decile,-1,2.0,2429,663,12,0.3250825082508251,0.34908963256865483,-2.400712431782975,-0.08801176099072756,-0.20146475076939308,0.04392227768563721,0.92125,1695,0.31150442477876106,-0.12469320931743583,734,0.35665294924554186,-0.003304601707661443,46.97910662824207
cum3_bot_decile,1,0.25,8584,1145,12,0.8026561043802423,0.8165024965391234,-1.3846392158881171,-0.030737507453203788,-0.04935268326485795,-0.014041207551507893,1.0,5726,0.8126091512399581,-0.01700593735188258,2858,0.7827151854443667,-0.05824869373737636,7.293831547064306
cum3_bot_decile,1,0.5,5656,1098,12,0.667963224893918,0.6824928103490336,-1.4529585455115623,-0.03571951531482262,-0.07476674417475158,-0.0017821588795256936,0.98125,3723,0.6792908944399678,-0.017478995760362694,1933,0.6461458872219348,-0.07085115230460759,14.566831683168317
cum3_bot_decile,1,0.75,4310,1047,12,0.5758700696055684,0.5867506734099409,-1.0880603804372502,-0.03350058846245309,-0.0852096518720391,0.012815611261071672,0.91375,2857,0.5901295064753238,-0.007272124738346904,1453,0.5478320715760495,-0.085073004745847,22.209686774941996
