base,filt,rr,sym,n_all,n_f,e_all,e_f,e_n,delta
S_volspike18_dn,h4b_glob_top_p90,0.75,SOLUSDT,327,85,0.08061244766130964,0.09143572621120054,0.08515159073931909,0.010823278549890902
S_volspike18_dn,h4b_glob_top_p90,1.0,BTCUSDT,380,134,0.0783364801053306,0.08239954439071032,0.07044997827072097,0.004063064285379711
S_volspike18_dn,h4b_glob_top_p90,1.0,ETHUSDT,373,126,0.10655052526394111,0.25040510092592216,0.03773842420984558,0.14385457566198107
S_volspike18_dn,h4b_glob_top_p90,1.0,SOLUSDT,301,80,0.12130897593676647,0.15655322955718837,0.11211702882870625,0.0352442536204219
S_volspike18_dn,h4b_glob_top_p90,2.0,BTCUSDT,267,101,0.0791237715448601,0.15331519810835717,0.013633479896815511,0.07419142656349707
S_volspike18_dn,h4b_glob_top_p90,2.0,ETHUSDT,269,96,0.17702401010835875,0.3408264385791735,0.13151894898947958,0.16380242847081475
S_volspike18_dn,h4b_glob_top_p90,2.0,SOLUSDT,208,59,0.1695225619989678,0.1576302013099377,0.11009876340217377,-0.011892360689030101
S_volspike18_dn,h2_oi_top_p90,0.25,BTCUSDT,483,126,0.03323138262084682,0.06693045285225455,0.021337593127408808,0.033699070231407724
S_volspike18_dn,h2_oi_top_p90,0.25,ETHUSDT,445,85,0.0379470104315476,0.03853236455188486,0.038301988569236445,0.0005853541203372573
S_volspike18_dn,h2_oi_top_p90,0.25,SOLUSDT,369,97,0.027327612004754767,0.0802851510285201,0.008442019044073754,0.052957539023765335
S_volspike18_dn,h2_oi_top_p90,0.5,BTCUSDT,470,123,0.03297424899272426,0.08375920825000062,0.014972664011038408,0.05078495925727636
S_volspike18_dn,h2_oi_top_p90,0.5,ETHUSDT,435,85,0.05761171664438276,0.05509934874028248,0.05938319463176175,-0.002512367904100282
S_volspike18_dn,h2_oi_top_p90,0.5,SOLUSDT,362,96,0.03757912500940461,0.12638418048318537,0.005529180176761931,0.08880505547378076
