sym,base,cond,rr,n,ndays,wr,be,lift,expR,e_tr,e_te
ETHUSDT,S_bb_break_dn,h4b_glob_top_p90,0.75,182,124,0.6593406593406593,0.5923308312228489,0.06700982811781042,0.11086460100580117,0.10861374128740445,0.11592903537219382
ETHUSDT,S_bb_break_dn,h4b_glob_top_p90,1.0,156,120,0.6025641025641025,0.5207963047773715,0.08176779778673104,0.1568327403827346,0.1386048503526559,0.19547586724650137
ETHUSDT,S_bb_break_dn,h4b_glob_top_p90,2.0,115,104,0.46956521739130436,0.35107932894112076,0.1184858884501836,0.34706365496807545,0.21235074887465216,0.6549788688959
ETHUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.25,283,179,0.823321554770318,0.8204549249241134,0.0028666298462045603,4.735700510287781e-05,0.007426392746902615,-0.014326389700277867
ETHUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.5,251,178,0.6892430278884463,0.6857624522115704,0.0034805756768758744,0.0013633914934639874,0.01086029559726634,-0.01653881854128984
ETHUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.75,216,169,0.5972222222222222,0.5896825735216445,0.007539648700577661,0.009123242895226731,0.06641951626871044,-0.10311466248022765
ETHUSDT,S_bb_break_dn,h1_unwind_dn_6h,1.0,193,166,0.49740932642487046,0.5177803720063864,-0.020371045581515923,-0.04542100512022754,0.008076989455133918,-0.14602917402314608
ETHUSDT,S_bb_break_dn,h1_unwind_dn_6h,2.0,156,146,0.3525641025641026,0.34968338482491196,0.0028807177391906302,0.003428840065886504,-0.005366773324430787,0.019135292548596004
ETHUSDT,S_volspike18_dn,h2_oi_top_p30,0.25,105,82,0.9047619047619048,0.8252098548163176,0.07955204994558718,0.09118492761696644,0.06732797313077656,0.1410038619851865
ETHUSDT,S_volspike18_dn,h2_oi_top_p30,0.5,103,80,0.7864077669902912,0.6902152465160986,0.09619252047419269,0.13552263071133308,0.13276498704323178,0.14137217788609346
ETHUSDT,S_volspike18_dn,h2_oi_top_p30,0.75,95,77,0.7052631578947368,0.5935682846328705,0.11169487326186633,0.18601063243953492,0.1620943811240206,0.2378291769564825
ETHUSDT,S_volspike18_dn,h2_oi_top_p30,1.0,91,76,0.6593406593406593,0.5215653456162296,0.13777531372442975,0.26638882791339796,0.2690606115627642,0.26067673873199443
ETHUSDT,S_volspike18_dn,h2_oi_top_p30,2.0,72,69,0.4583333333333333,0.35257877795695075,0.10575455537638256,0.3073040624218609,0.40188818322465564,0.10579876158112421
ETHUSDT,S_volspike18_dn,h2_oi_top_p90,0.25,85,66,0.8588235294117647,0.8232869959809885,0.03553653343077612,0.03853236455188486,0.023028945608831782,0.06296199440154425
ETHUSDT,S_volspike18_dn,h2_oi_top_p90,0.5,85,66,0.7294117647058823,0.6884011962489226,0.04101056845695972,0.05509934874028248,0.08732457641398302,0.004320202102936155
ETHUSDT,S_volspike18_dn,h2_oi_top_p90,0.75,81,65,0.691358024691358,0.5912529943155365,0.10010503037582152,0.16842765683016914,0.23095104157568933,0.06213790276278487
ETHUSDT,S_volspike18_dn,h2_oi_top_p90,1.0,76,62,0.6578947368421053,0.5189951244317915,0.1388996124103138,0.2712514837477511,0.36155830100210995,0.12489215923206608
ETHUSDT,S_volspike18_dn,h2_oi_top_p90,2.0,57,55,0.47368421052631576,0.3498799863833502,0.12380422414296555,0.3640025090059098,0.4877999575073583,0.16705202275360523
ETHUSDT,S_volspike18_dn,h4_ttsum_top_p30,0.25,61,51,0.8524590163934426,0.826240867681728,0.026218148711714573,0.026585262875042398,0.014483789144571074,0.039938613198321087
