cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h,top3_frac
h2_oi_bot_pct90d,1,0.25,1097,401,2,0.8204193254329991,0.8268699953228216,-0.6450669889822458,-0.014354394896693915,-0.04178759670690437,0.009541800852964707,0.8775,753,0.8260292164674635,-0.009109588482203973,344,0.8081395348837209,-0.025835032193527993,7.609161349134002,0.02643573381950775
h2_oi_bot_pct90d,1,0.5,676,348,2,0.6937869822485208,0.6928751606388269,0.09118216096938303,-0.00487016811636059,-0.054463727748744244,0.04457061572827467,0.54,477,0.7044025157232704,0.009431205342282017,199,0.6683417085427136,-0.03915034469813205,15.5,0.028106508875739646
h2_oi_bot_pct90d,1,0.75,499,303,2,0.5951903807615231,0.5965938720617886,-0.14034913002655136,-0.008537389497027613,-0.08977080479518576,0.07172418614273587,0.56625,345,0.6057971014492753,0.00823348653685637,154,0.5714285714285714,-0.04610850788462483,23.345190380761522,0.03206412825651302
h2_oi_bot_pct90d,1,1.0,392,260,2,0.5255102040816326,0.5242927047788404,0.12174993027922465,-0.00428023994624711,-0.1005297295656771,0.09205184430925634,0.50875,282,0.5460992907801419,0.03533672154988201,110,0.4727272727272727,-0.10584372305450533,31.663265306122447,0.030612244897959183
h2_oi_bot_pct90d,1,2.0,223,166,2,0.3901345291479821,0.35840067981769175,3.173384933029033,0.09144333311631475,-0.10810483618668089,0.2959552950723246,0.19,159,0.4025157232704403,0.12437195881513373,64,0.359375,0.0096362786458115,72.76793721973094,0.053811659192825115
h3_div_bear,-1,0.25,546,343,2,0.7893772893772893,0.8298403474208816,-4.046305804359229,-0.056429293486863534,-0.10739006250945882,-0.00820712513884955,0.98875,396,0.7853535353535354,-0.05990753394662254,150,0.8,-0.04724673867309978,5.7756410256410255,0.03296703296703297
h3_div_bear,-1,0.5,473,329,2,0.6617336152219874,0.6946184872564887,-3.28848720345013,-0.05497978013332533,-0.12917275473338719,0.01757346529907585,0.92875,340,0.6441176470588236,-0.08001756322245937,133,0.706766917293233,0.009026582650927102,12.150634249471459,0.03171247357293869
h3_div_bear,-1,0.75,442,312,2,0.5633484162895928,0.5979919978602474,-3.4643581570654614,-0.06638103480857395,-0.16184490746604444,0.032438842310216626,0.9125,318,0.5440251572327044,-0.09892179267271599,124,0.6129032258064516,0.01707026358495157,18.6210407239819,0.033936651583710405
h3_div_bear,-1,1.0,423,306,2,0.5130023640661938,0.5256611265290252,-1.2658762462831374,-0.031377258470731945,-0.14322010751100148,0.08941198807281106,0.65,304,0.5032894736842105,-0.04893749659358159,119,0.5378151260504201,0.013482509506967989,24.83628841607565,0.03309692671394799
h3_div_bear,-1,2.0,379,273,2,0.3113456464379947,0.3588888883755927,-4.754324193759796,-0.14764671443748564,-0.3299599290473778,0.02414859957680452,0.94875,271,0.30996309963099633,-0.1504901411481194,108,0.3148148148148148,-0.1405118196358027,57.24274406332454,0.036939313984168866
h3_div_bull,1,0.25,940,457,2,0.7627659574468085,0.826173508688899,-6.340755124209052,-0.08574163022662694,-0.12180408488885608,-0.046813521424790054,1.0,635,0.7464566929133858,-0.1064087777365927,305,0.7967213114754098,-0.04271330672227198,4.219414893617022,0.026595744680851064
h3_div_bull,1,0.5,766,433,2,0.6078431372549019,0.6916295112754273,-8.378637402052536,-0.13269688179046862,-0.19531211718815808,-0.07364302514600085,1.0,517,0.5918762088974855,-0.15657618273613821,249,0.6411290322580645,-0.0831161645659257,10.350195822454308,0.02349869451697128
h3_div_bull,1,0.75,712,417,2,0.5,0.5951438132872988,-9.514381328729883,-0.1736736351553507,-0.24861499390069558,-0.09965732406071315,1.0,481,0.4885654885654886,-0.19366073671375922,231,0.5240174672489083,-0.1320554713042922,15.954705056179776,0.025280898876404494
h3_div_bull,1,1.0,685,405,2,0.43045387994143486,0.5226460034058183,-9.219212346438349,-0.19143242980227126,-0.2796722662457023,-0.1013619893322761,1.0,462,0.4264069264069264,-0.1993826447397134,223,0.43891402714932126,-0.17496158091842248,21.404014598540147,0.026277372262773723
h3_div_bull,1,2.0,605,363,2,0.28689883913764513,0.3536753662631223,-6.677652712547716,-0.207815060576888,-0.3276668869603182,-0.08880237132662987,0.99875,411,0.30170316301703165,-0.16278605970259102,194,0.2552083333333333,-0.3032115521198574,43.97644628099174,0.02975206611570248
h4_tt_count_top_pct30d,-1,0.25,1650,525,2,0.8434466019417476,0.8297773484105994,1.3669253531148229,0.011126306823392367,-0.02055925261438001,0.036313480887951916,0.2525,1027,0.8325219084712756,-0.0027679118628131947,623,0.8615136876006442,0.034030580644793834,7.0224242424242425,0.020606060606060607
h4_tt_count_top_pct30d,-1,0.5,1130,475,2,0.7207446808510638,0.6939057752065366,2.683890564452718,0.03356288278961713,-0.018452208944310634,0.08039728069251989,0.1025,690,0.7,0.0015713174511665763,440,0.7534246575342466,0.08373147388855094,13.001327433628319,0.02654867256637168
