rule,rr,n,wr,be,expR,ci_lo,ci_hi,R_per_month,tpm,n_tr,e_tr,wr_tr,n_te,e_te,wr_te,hold_h,nights,costR,stop_frac,slip_headroom_bps,lose_streak,years,atr_mult
S_volspike25_dn,0.33,178,0.8370786516853933,0.7951654324631192,0.04157419298938425,-0.02187234193415661,0.10591927671154457,0.12361200733029475,2.9732869946954454,113,0.06461572677276994,0.8495575221238938,65,0.0015173727198060291,0.8153846153846154,5.172752808988764,0.1797752808988764,0.07174041375218879,0.017194497265271145,3.0000000000000004,3,2021:-0.040(12)  2022:+0.096(37)  2023:+0.144(30)  2024:-0.003(34)  2025:+0.023(47)  2026:-0.055(18),1.0
S_volspike25_dn,0.5,178,0.7640449438202247,0.7070070702330143,0.07082569512963258,-0.008651939309247896,0.15360299384046527,0.21058511821920106,2.9732869946954454,113,0.1253986342407263,0.7964601769911505,65,-0.024047260555807363,0.7076923076923077,7.444288389513109,0.2808988764044944,0.07524172060070453,0.017194497265271145,5.200000000000001,4,2021:-0.040(12)  2022:+0.159(37)  2023:+0.244(30)  2024:+0.042(34)  2025:-0.030(47)  2026:-0.010(18),1.0
S_volspike25_dn,0.75,178,0.6741573033707865,0.6079664469821084,0.09979478920023788,-0.03491724498505212,0.23624519565812657,0.29671854886744076,2.9732869946954454,113,0.21258361038974635,0.7345132743362832,65,-0.09628423840613842,0.5692307692307692,10.196629213483146,0.398876404494382,0.0799804916986385,0.017194497265271145,7.2,5,2021:-0.165(12)  2022:+0.265(37)  2023:+0.465(30)  2024:+0.066(34)  2025:-0.122(47)  2026:-0.029(18),1.0
S_volspike25_dn,1.0,178,0.5955056179775281,0.5331142000657343,0.10765234115385706,-0.03460983725256015,0.2555101765809265,0.3200813059012805,2.9732869946954454,113,0.23357579813021134,0.6548672566371682,65,-0.11126074558965113,0.49230769230769234,11.933052434456929,0.47752808988764045,0.08335889480119911,0.017194497265271145,7.800000000000001,5,2021:-0.040(12)  2022:+0.399(37)  2023:+0.214(30)  2024:+0.167(34)  2025:-0.201(47)  2026:+0.124(18),1.0
S_volspike25_dn,1.5,172,0.4883720930232558,0.42811220180568704,0.13339071036838906,-0.052385644140474655,0.3175556302064825,0.3832400262273096,2.8730638375708795,108,0.26211535323181506,0.5370370370370371,64,-0.0838321244636423,0.40625,15.48982558139535,0.6162790697674418,0.08753952218975049,0.017190251311290965,9.600000000000001,7,2021:+0.205(12)  2022:+0.478(34)  2023:+0.170(29)  2024:+0.142(33)  2025:-0.194(47)  2026:+0.219(17),1.0
S_volspike25_dn,2.0,165,0.4,0.35818574591606306,0.10728037631729352,-0.1076909678075357,0.3169067420494978,0.29567939533084237,2.756136820925553,105,0.22883129757388662,0.4380952380952381,60,-0.10543373588174447,0.3333333333333333,19.48989898989899,0.7757575757575758,0.09271962368270648,0.01727369235738709,7.800000000000001,8,2021:+0.446(12)  2022:+0.568(33)  2023:-0.059(28)  2024:+0.050(32)  2025:-0.287(44)  2026:+0.394(16),1.0
S_volspike18_dn,0.25,439,0.8815489749430524,0.8428201375938921,0.036665123411840486,-0.0074144020313953425,0.0747673182822477,0.26676692045671707,7.275767695099818,300,0.04068637828745416,0.8833333333333333,139,0.027986156054400944,0.8776978417266187,2.9197038724373576,0.0979498861047836,0.06527109526697498,0.01772950758920974,2.8000000000000003,3,2021:+0.038(36)  2022:+0.050(121)  2023:+0.095(64)  2024:-0.016(79)  2025:+0.040(97)  2026:-0.000(42),1.0
S_volspike18_dn,0.33,439,0.8337129840546698,0.793090211796792,0.041949525771596836,-0.008729023440140744,0.09132485516092802,0.3052150044337415,7.275767695099818,300,0.05687567229223698,0.8433333333333334,139,0.009734821050790772,0.8129496402877698,3.8614274867122242,0.14350797266514806,0.06688874302111389,0.01772950758920974,3.2,4,2021:+0.107(36)  2022:+0.055(121)  2023:+0.168(64)  2024:-0.053(79)  2025:+0.040(97)  2026:-0.059(42),1.0
S_volspike18_dn,0.5,436,0.7431192660550459,0.7052893420646079,0.044041682861698656,-0.018822125117023674,0.10562095565085675,0.3182472785505662,7.226047186932849,298,0.08406998654737534,0.7684563758389261,138,-0.042396248285632154,0.6884057971014492,6.482798165137614,0.2591743119266055,0.07063721622087014,0.017771721669634928,3.4000000000000004,4,2021:+0.210(36)  2022:+0.040(120)  2023:+0.202(63)  2024:-0.001(79)  2025:-0.007(97)  2026:-0.127(41),1.0
S_volspike18_dn,0.75,430,0.6395348837209303,0.606138343688233,0.04489302725478563,-0.03614226789337003,0.13074128271457733,0.31993492505082033,7.126606170598911,292,0.08477229978648455,0.660958904109589,138,-0.03948920158040343,0.5942028985507246,9.06220930232558,0.36046511627906974,0.07429301925684227,0.01778391811074137,3.4000000000000004,7,2021:+0.058(35)  2022:+0.035(118)  2023:+0.305(63)  2024:-0.008(76)  2025:-0.015(97)  2026:-0.098(41),1.0
