rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.33,trend,-1,5715,0.7738658258889473,0.7828469750560605,-0.021883540808650577,3916,0.7747701736465782,-0.016416945300437295,1799,0.7718906860011154,-0.033783033865995314,0.0055365077527280366,12.801049868766404,0.4199475065616798,0.050875881831292775,4H
0.33,trend+50,-1,5046,0.770436507936508,0.7817474991402642,-0.02433740903362308,3470,0.7731988472622479,-0.018675381740993396,1576,0.7643312101910829,-0.03680392851676077,0.005923857052293996,11.434353943717797,0.3695996829171621,0.04874114049307615,4H
0.33,trend+d1,-1,3818,0.7717733473242392,0.7807111537689209,-0.021572792512446357,2637,0.769814182783466,-0.019663317477898925,1181,0.7761702127659574,-0.025836370553175874,0.006797537663022891,12.969115592806006,0.42875851231011003,0.047662690088245245,4H
0.33,trend+macd,-1,1772,0.7687959299039006,0.7823189285903154,-0.028222185987534364,1223,0.7661488143908421,-0.027236967324289024,549,0.7747252747252747,-0.03041694450328857,0.010023960781528979,12.610703536493604,0.42099322799097066,0.05071223721015226,4H
0.33,volspike1.8+bar,-1,447,0.8120805369127517,0.7833831056814304,0.028395184077685733,300,0.82,0.04277035135894655,147,0.7959183673469388,-0.0009418920065200121,0.018477009021265343,10.157158836689039,0.4116331096196868,0.05167193001627401,4H
0.33,volspike2.5+bar,-1,180,0.8388888888888889,0.7840031133865505,0.0629491067028113,113,0.8407079646017699,0.07029169058061639,67,0.835820895522388,0.05056534583427438,0.027401776198274115,10.219907407407408,0.39444444444444443,0.052773115519410926,4H
0.33,trend+run3,-1,658,0.7659574468085106,0.7804969471515494,-0.028710778661263422,430,0.7744186046511627,-0.014051440822664085,228,0.75,-0.056357775462130576,0.01650580797140519,11.430851063829786,0.3860182370820669,0.04743418291658258,4H
0.33,trend+pullback_ema20,-1,1883,0.7823310271420969,0.7826388036159864,-0.009586606229146352,1272,0.7869496855345912,0.0008019959122071942,611,0.7726523887973641,-0.031213941619983865,0.009519851003326649,11.20711630377058,0.3595326606479023,0.04991540738546467,4H
0.33,trend+rsi<40,-1,406,0.812807881773399,0.7842899607422239,0.03204199096928931,300,0.8233333333333334,0.047069197924869265,106,0.7830188679245284,-0.010487840037069068,0.019358634298995994,8.142857142857142,0.2536945812807882,0.04899249178933139,4H
0.33,trend+bb_lo,-1,181,0.7403314917127072,0.7852079401186027,-0.06684669519357583,119,0.7226890756302521,-0.08929913149099143,62,0.7741935483870968,-0.023752502945310353,0.032589932866768374,7.815377532228362,0.24861878453038674,0.05148757917147638,4H
0.33,trend+hammer,-1,369,0.7994579945799458,0.7829298515077373,0.013594159068893526,267,0.797752808988764,0.014106595726867404,102,0.803921568627451,0.012252780758314827,0.020844300169234303,11.581526648599821,0.35772357723577236,0.0496849737224344,4H
0.33,trend+bull_engulf,-1,576,0.7669565217391304,0.7840302594988913,-0.03275127536007875,402,0.7512437810945274,-0.05014836833182725,174,0.8034682080924855,0.007442008402236747,0.017630715070997185,12.852285879629628,0.4305555555555556,0.05279247693360493,4H
