feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
atr_rank,long,7,0.6729166666666667,0.7958333333333333,3493,-0.11112062181936566,0.05641763569818081,0.34211279702261665,1169,-0.29665740872970614
pos24,short,2,0.25732745322226325,0.34265474311765803,3504,-0.11120838585995153,0.07365005712055249,0.3550228310502283,1130,-0.276018267013849
wick_skew,long,4,-0.09272164150213236,-0.009933774834412767,3505,-0.11153600624273859,0.05600225127480789,0.35121255349500713,1290,-0.2886618504073658
disp96,long,8,6.059619357675194,8.812381329835077,3496,-0.1121000687246004,0.05543818879294607,0.34839816933638446,1100,-0.19416881294411414
flow_eff,short,0,-inf,-0.10037609530425694,3506,-0.11231098053669507,0.07254746244380895,0.34227039361095263,1168,-0.15978171888521206
ats_z96,long,5,-0.06575894239927992,0.2218701936837082,3487,-0.11277277556229802,0.054765481955248455,0.3538858617722971,1336,-0.24100842789864527
tbi_ma8,long,3,-0.009012029084198193,-0.005499988360265196,3504,-0.11302593239359107,0.0545123251239554,0.3527397260273973,962,-0.2569380757811084
kyle,short,8,4.6742614978291584e-07,5.851409972842815e-07,3505,-0.11329536866500482,0.0715630743154992,0.32838801711840226,452,-0.18948763171381963
dn_wick,long,0,-inf,0.04766125061546214,3505,-0.11334963367790173,0.05418862383964475,0.36262482168330956,1567,-0.26717116631003046
since_hi480,short,0,-inf,16.0,3419,-0.11390168162150012,0.0709567613590039,0.3419128400116993,1091,-0.26542346305608727
tbi_ma8,long,9,0.014431134992252912,inf,3504,-0.11392054243071399,0.05361771508683248,0.3604452054794521,2199,-0.2154526342230775
lo_pos,long,9,0.9491525423728814,inf,3618,-0.11415160548554511,0.05338665203200137,0.35461580983969043,1372,-0.22445897018532357
pos480,long,9,0.9121278446261167,inf,3458,-0.11626968184733731,0.05126857567020916,0.34788895315211105,1014,-0.12037139878968656
dow,short,3,3.0,4.0,4992,-0.1164676550053945,0.06839078797510953,0.34094551282051283,1848,-0.04244270142056642
flow_eff,short,9,0.47727841905466983,inf,3506,-0.11703522566630073,0.0678232173142033,0.32430119794637763,701,-0.1510332808691382
close_loc,short,6,0.6111447973027267,0.7053886509814072,3505,-0.11705124226253848,0.06780720071796555,0.3492154065620542,1213,-0.24368362910750163
dow,long,2,2.0,3.0,4988,-0.1171455737039598,0.05039268381358668,0.3444266238973536,1847,-0.17706925079838098
atr_pct,short,4,0.00731595416114364,0.008167752622716812,3505,-0.11743399819984174,0.06742444478066228,0.34350927246790297,1120,-0.20402561423742863
to_lo480,long,7,17.99357945247185,22.069812629910153,3457,-0.11804673214312186,0.04949152537442461,0.3549320219843795,1366,-0.44145261594388185
dn_wick,short,9,0.5995955266041966,inf,3506,-0.11806887422347578,0.06678956875702824,0.3545350827153451,1203,-0.25632012506066104
close_loc,long,1,0.12756849315069818,0.22429961663225598,3505,-0.11809710917231767,0.04944114834522881,0.35035663338088446,1313,-0.24005961947072296
pos96,short,1,0.15525152410155071,0.24508466036683874,3496,-0.11810832152978826,0.06675012145071577,0.3544050343249428,1386,-0.12232986220422178
since_lo96,short,0,-inf,6.0,3064,-0.1181247353179892,0.06673370766251482,0.3364882506527415,1315,-0.13526670599021517
dq,short,3,-0.044599431120501694,-0.024332985178659627,3505,-0.11816714480984511,0.06669129817065891,0.34465049928673325,950,-0.2067797935413927
atr_rank,long,8,0.7958333333333333,0.9125,3409,-0.11845507772421411,0.04908317979333236,0.3335288941038428,1306,-0.2619507551340035
dn_wick,long,3,0.15679442508710803,0.20978999334541032,3504,-0.11847479383629489,0.049063463681251585,0.3504566210045662,1246,-0.2480773350769557
updn_ratio,long,2,0.45,0.4666666666666667,2907,-0.11890535814835973,0.048632899369186744,0.34915720674234607,1003,-0.17979963636384338
to_hi24,long,5,2.118712466050531,2.547404566248727,3503,-0.11912378743781803,0.04841447007972845,0.35398230088495575,1151,-0.16732759690749066
accel,long,1,-1.5949999338919287,-1.0368846213385523,3503,-0.11928202537263384,0.048256232144912634,0.34456180416785614,1328,-0.2025300061663982
range_rank,short,9,0.9020833333333333,inf,3458,-0.11931911059699463,0.0655393323835094,0.3282244071717756,1378,-0.19240717255669987
range_z,long,8,0.5275796611161969,1.2144929581343429,3486,-0.11939523616326873,0.04814302135427774,0.34165232358003444,1397,-0.21092547640707027
accel,long,2,-1.0368846213385523,-0.6568934493913408,3503,-0.11956827852096216,0.04796997899658431,0.3482729089351984,1197,-0.23736422954948627
to_lo480,long,4,10.62965588321862,12.952719591817235,3457,-0.11968805872291592,0.04785019879463055,0.35030373155915534,1280,-0.2382116637820817
pos480,short,2,0.24998299317228478,0.3298735216597219,3458,-0.11978104253732591,0.06507740044317811,0.3533834586466165,1553,-0.29994247882756486
since_hi96,long,1,5.0,14.0,3771,-0.11995637799283428,0.0475818795247122,0.3394325112702201,1376,-0.29005443955271565
tbi,short,3,-0.022343545936647852,-0.012214650462303855,3505,-0.12002507820180923,0.0648333647786948,0.34407988587731814,951,-0.21048343445339787
persist24,short,8,0.3503193799095869,0.4467565438302885,3503,-0.12011021869822405,0.06474822428227997,0.33999429060805025,1256,-0.11095530512148534
persist24,long,9,0.44680075030667654,inf,3503,-0.12041504563316405,0.04712321188438243,0.3385669426206109,1198,-0.28610198079137306
range_per_trade,short,8,8.003314175457509e-08,9.801920456758239e-08,3505,-0.12052423696568028,0.06433420601482374,0.3360912981455064,326,-0.1676539668804554
kyle_z,long,8,0.7219283955481552,1.3104777011053335,3486,-0.12065977938218837,0.0468784781353581,0.3433734939759036,1456,-0.2513624071426531
tbi,short,5,-0.0025228834049872417,0.0072459441594207915,3506,-0.12076416480299582,0.06409427817750821,0.3419851682829435,926,-0.16015008531069863
atr_pct,short,5,0.008167752622716812,0.009089982062590797,3505,-0.12093841129327045,0.06392003168723358,0.3375178316690442,882,-0.14958805039719497
to_hi96,short,6,5.4808116833192715,6.547502304214035,3496,-0.12097877250068305,0.06387967047982097,0.34782608695652173,1120,-0.21119832855450074
rv_vs_range,long,0,-inf,0.47887919560887676,3505,-0.12166802208890835,0.04587023542863812,0.3486447931526391,1225,-0.24573426361874393
gap,short,1,-0.0005255021743175222,-0.0001400166619741217,3505,-0.1218435632188133,0.06301487976169072,0.3437945791726106,2248,-0.2681714218521271
vol_of_vol,long,4,-0.4690091380216294,-0.3024502890653504,3455,-0.12193968633354718,0.04559857118399929,0.34790159189580316,946,-0.24662832075900026
since_lo480,short,1,35.0,90.0,3437,-0.12194685347974231,0.06291158950076171,0.34303171370381147,1377,-0.045163182668313595
absorb_z,long,3,-0.10248792295548023,-0.031385892188925756,3382,-0.12211981225337584,0.04541844526417063,0.34831460674157305,1326,-0.2662922296740646
m1_jump,long,0,-inf,0.13223962898923006,3506,-0.1226952671872214,0.04484299033032507,0.35139760410724474,1093,-0.20639945558773812
up_wick,long,9,0.5815698535461575,inf,3506,-0.12278251029573901,0.04475574722180746,0.3525385054192812,1272,-0.25970080412394797
absorb,long,5,-0.0095729566515923,0.02231470090560533,3504,-0.12282231533968832,0.04471594217785815,0.3416095890410959,1130,-0.22254079073239363
since_hi480,short,7,356.0,419.0,3462,-0.12285167218127072,0.06200677079923331,0.35037550548815716,1544,-0.23852602611988125
since_lo96,short,4,43.0,57.0,3640,-0.12318121578188546,0.06167722719861857,0.3524725274725275,1337,-0.44567025576918756
since_hi96,long,8,87.0,94.0,3438,-0.12331109750260341,0.04422716001494306,0.35369400814426993,1345,-0.2704862801501764
tbi_ma8,short,5,-0.002293081235609909,0.0009891897117414172,3504,-0.1233264091475061,0.06153203383299792,0.3447488584474886,991,-0.16801536881176934
wick_skew,long,8,0.2682608695652153,0.4212237762237803,3505,-0.12344371808085362,0.04409453943669285,0.3529243937232525,1280,-0.14584245399609602
dq,long,7,0.03539887904055265,0.05985647054317514,3504,-0.12375730295208569,0.043780954565460786,0.346175799086758,1088,-0.18253522781653364
to_lo480,short,2,6.187768349158728,8.392212860215505,3458,-0.12388961124618231,0.060968831734321716,0.3449971081550029,1365,-0.11786499162126697
since_hi480,short,5,212.0,280.0,3446,-0.12417154270287792,0.060686900277626105,0.3482298316889147,1060,-0.16477093863236478
to_hi480,short,8,19.85843237179248,26.509844738871895,3457,-0.12417699844182327,0.060681444538680754,0.3500144634075788,1373,-0.10686802465518541
efficiency,long,9,0.23900197154902794,inf,3506,-0.12419471591191605,0.04334354160563042,0.35082715345122645,1499,-0.23380897701928924
rpt_z,long,9,1.3493692007832532,inf,3487,-0.12420163621600361,0.043336621301542866,0.34786349297390307,1347,-0.29873214328135633
dn_wick,long,4,0.20978999334541032,0.2664324100868051,3505,-0.12442206744059106,0.04311619007695541,0.3463623395149786,1260,-0.19328222281577875
since_lo480,long,7,406.0,447.0,3466,-0.12460954650733178,0.0429287110102147,0.34968263127524524,1441,-0.17544979947754913
ats_z96,short,7,0.5291338836006354,0.9035497128464198,3486,-0.12476910080960342,0.0600893421709006,0.34652897303499713,1224,-0.2167593593762074
extreme_late,long,9,0.9830508474576272,inf,4611,-0.12477736662656393,0.04276089089098255,0.34938191281717634,1574,-0.27977301276399386
disp96,short,4,-1.2291624003956825,0.3262363077069926,3496,-0.12483767041762225,0.06002077256288177,0.34725400457665906,1430,-0.25509510757129916
since_lo96,long,9,94.0,inf,4233,-0.12487301975848655,0.04266523775905992,0.34727143869596033,1493,-0.3142207028016992
dow,long,0,-inf,1.0,5013,-0.12505420916793863,0.04248404834960784,0.35088769200079795,1824,-0.27283400707603783
tbi_ma96,short,2,-0.0066377527299552805,-0.005084746179126531,3486,-0.12507135716533924,0.05978708581516479,0.34566838783706255,1001,-0.09745564457396479
dq,short,5,-0.00487688927005777,0.0146393274823047,3506,-0.12568012398352865,0.05917831899697537,0.3402738163148888,925,-0.15611406871482347
tbi,long,7,0.01764831014968805,0.029862265913306874,3504,-0.1257223712135337,0.041815886304012784,0.3456050228310502,1085,-0.18287954483513275
since_hi480,short,2,47.0,92.0,3421,-0.1257408387716109,0.059117604208893115,0.3490207541654487,986,-0.201551660386103
absorb,short,4,-0.03599055329338004,-0.009616937455554904,3504,-0.12611261293736972,0.0587458300431343,0.341324200913242,1058,-0.2176973549371366
rpt_rank,long,8,0.7979166666666667,0.9020833333333333,3366,-0.12618439724582065,0.04135386027172583,0.3490790255496138,1326,-0.2522828775479614
tbi_ma24,long,4,-0.004382145320575756,-0.002292503145556573,3500,-0.12637052399195414,0.04116773352559233,0.34885714285714287,999,-0.16487846667716582
gap,long,2,-0.00014004175636436611,0.0,2112,-0.12649849175184427,0.0410397657657022,0.3271780303030303,718,-0.23877834551569016
to_lo24,long,5,2.3383140812917147,2.79152951679434,3503,-0.12656052341756913,0.04097773409997735,0.3519840137025407,1254,-0.2450303302110705
vol_of_vol,long,5,-0.3024502890653504,-0.09352258062790189,3455,-0.12676571148385293,0.04077254603369354,0.3467438494934877,1123,-0.21917809692877857
hi_pos,long,1,0.01694915254237288,0.06779661016949153,3175,-0.12677850338521934,0.04075975413232713,0.3464566929133858,1097,-0.2196104238790759
tbi_ma24,short,1,-0.01293703335055698,-0.00937502087601858,3501,-0.12680821047730073,0.05805023250320329,0.3439017423593259,1228,-0.1043898369924088
disp24,short,8,2.546367556177998,3.9673832398711566,3503,-0.126907026764993,0.05795141621551103,0.34427633457036827,1391,-0.2164087174688876
to_hi480,long,3,5.788681426549066,7.824172416409834,3457,-0.12718239549196036,0.04035586202558611,0.3497251952560023,1320,-0.2840596378841276
minofday,long,1,120.0,240.0,2922,-0.12719387841776414,0.040344379099782335,0.3459958932238193,1074,-0.14974279469809962
hour,long,1,2.0,4.0,2922,-0.12719387841776414,0.040344379099782335,0.3459958932238193,1074,-0.14974279469809962
to_hi480,short,5,10.437870989391957,13.05939892173169,3458,-0.12722642626769934,0.057632016712804685,0.34123770965876227,1201,-0.10040670644737783
dq_cum24,long,4,-0.2077685487308505,-0.10734445135256199,3500,-0.12748234121162397,0.040055916305922507,0.3485714285714286,1000,-0.16950408415416518
since_lo480,long,5,297.0,355.0,3469,-0.12751743313060845,0.04002082438693802,0.3516863649466705,1167,-0.2157068558242089
rpt_rank,long,9,0.9020833333333333,inf,3468,-0.12766829969918767,0.03986995781835881,0.34832756632064593,1310,-0.29216930435142646
disp6,long,1,-1.6833695162593407,-0.9932703680625695,3504,-0.1281938335077352,0.03934442400981128,0.3444634703196347,1370,-0.24883917128607058
efficiency,long,6,0.12518256049372525,0.1527100517192674,3506,-0.128367348720588,0.039170908796958476,0.34711922418710783,1272,-0.2713384017066914
trade_intensity,short,6,0.9183169347161517,1.0938041535806375,3496,-0.12837193815135806,0.05648650482914597,0.33867276887871856,1120,-0.21853534596171745
to_lo24,short,7,3.3568473039731686,4.102103881031209,3502,-0.1289338493235918,0.055924593656912214,0.3409480296973158,1406,-0.23386526426835116
to_hi24,long,7,3.0674041073385268,3.7472219404572784,3503,-0.12899490197098398,0.03854335554656249,0.3457036825578076,1231,-0.2752469453128297
