label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
WF_k8,0.001,0.02,224,-0.06015824883798038,-0.5679933520948848,0.086930270423154,-0.06015824883798038,-0.06015824883798038,-0.06015824883798038,0.0,0.0,1,static_dd,2023-01-29 01:04:00+00:00,False
WF_k8,0.001,0.03,224,-0.06015824883798038,-0.5679933520948848,0.086930270423154,-0.06015824883798038,-0.06015824883798038,-0.06015824883798038,0.0,0.0,1,static_dd,2023-01-29 01:04:00+00:00,False
WF_k8,0.001,0.06,224,-0.06015824883798038,-0.5679933520948848,0.086930270423154,-0.06015824883798038,-0.06015824883798038,-0.06015824883798038,0.0,0.0,1,static_dd,2023-01-29 01:04:00+00:00,False
WF_k8,0.002,0.01,137,-0.0605555987214782,-0.6135157614423825,0.09774120167654943,-0.0605555987214782,-0.0605555987214782,-0.0605555987214782,0.0,0.0,1,static_dd,2023-01-25 13:02:00+00:00,False
WF_k8,0.002,0.02,190,-0.06075607510227654,-0.614769029984082,0.12565404835343486,-0.06075607510227654,-0.06075607510227654,-0.06075607510227654,0.0,0.0,1,static_dd,2023-01-25 20:02:00+00:00,False
WF_k8,0.002,0.03,188,-0.06181359181943413,-0.6369725662968804,0.11516022986813108,-0.06181359181943413,-0.06181359181943413,-0.06181359181943413,0.0,0.0,1,static_dd,2023-01-24 13:41:00+00:00,False
WF_k8,0.002,0.06,188,-0.061724562399981364,-0.6364251056643437,0.11327465337778074,-0.061724562399981364,-0.061724562399981364,-0.061724562399981364,0.0,0.0,1,static_dd,2023-01-24 13:39:00+00:00,False
WF_k8,0.0035,0.01,59,-0.06074019916992546,-0.6815806189120618,0.07350893619656505,-0.06074019916992546,-0.06074019916992546,-0.06074019916992546,0.0,0.0,1,static_dd,2023-01-21 09:58:00+00:00,False
WF_k8,0.005,0.01,49,-0.06343074158747275,-0.7354564919073762,0.08256647121265161,-0.06343074158747275,-0.06343074158747275,-0.06343074158747275,0.0,0.0,1,static_dd,2023-01-19 15:08:00+00:00,False
WF_k8,0.0075,0.01,28,-0.06584489443393615,-0.7685573797253701,0.07002618055851802,-0.06584489443393615,-0.06584489443393615,-0.06584489443393615,0.0,0.0,1,static_dd,2023-01-19 15:08:00+00:00,False
WF_k8,0.01,0.01,26,-0.0668708384882919,-0.7940191795478769,0.07200763575210281,-0.0668708384882919,-0.0668708384882919,-0.0668708384882919,0.0,0.0,1,static_dd,2023-01-18 02:20:00+00:00,False
WF_k16,0.001,0.01,310,-0.06062307721750859,-0.5989571783084453,0.1074575007405879,-0.06062307721750859,-0.06062307721750859,-0.06062307721750859,0.0,0.0,1,static_dd,2023-01-26 14:00:00+00:00,False
WF_k16,0.001,0.02,329,-0.060833799639349984,-0.6643293243479618,0.1015649819695911,-0.060833799639349984,-0.060833799639349984,-0.060833799639349984,0.0,0.0,1,static_dd,2023-01-22 14:21:00+00:00,False
WF_k16,0.001,0.03,329,-0.06058482518362118,-0.6806172946621188,0.09669189738031567,-0.06058482518362118,-0.06058482518362118,-0.06058482518362118,0.0,0.0,1,static_dd,2023-01-21 22:59:00+00:00,False
