feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
since_hi96,long,0,-inf,6.0,12927,-0.19799954302295136,1.0772705630406316,0.33557669993037825,5117,-0.3816852242905631
to_lo96,short,2,2.543524346547266,3.3943844762559667,14007,-0.1989230272554289,0.06021539887276903,0.3453987292068252,4770,-0.31425605337640744
avg_trade_usd,long,5,3636.424511519627,3932.495118448167,14016,-0.19913143107620504,1.0761386749873778,0.3395405251141553,3672,-0.38065014065221625
atr_pct,short,4,0.0033989450092214127,0.0038758487209130405,14016,-0.19945896206209718,0.05967946406610075,0.337685502283105,4895,-0.22149680386944026
hour,long,1,2.0,4.0,11687,-0.19952765368524347,1.0757424523783394,0.346795584837854,4295,-0.3085149051613143
dq_cum24,short,1,-0.9158466167053954,-0.6336260817627405,14001,-0.1997777668344063,0.05936065929379164,0.34818941504178275,4921,-0.2548930761488834
tbi_ma24,short,1,-0.019118992869875923,-0.013243888751463229,14001,-0.19979323095181478,0.05934519517638315,0.34811799157203055,4917,-0.25716511822116267
pos480,short,5,0.5288266065755485,0.6337434301290734,13968,-0.19989536268883987,0.05924306343935806,0.3518757159221077,5833,-0.335385676032796
since_hi24,long,7,20.0,22.0,11203,-0.20074911713242624,1.0745209889311567,0.3487458716415246,4066,-0.378683043880752
persist24,short,8,0.3099593986698207,0.40168975666937445,14014,-0.2008841309870739,0.05825429514112404,0.33423719138004854,5521,-0.3167583732168287
accel,long,9,1.5789575225368897,inf,14015,-0.20114314669349043,1.0741269593700924,0.33920799143774527,5635,-0.3110977688966685
since_lo96,short,1,7.0,18.0,14621,-0.20196947514671099,0.05716895098148694,0.33150947267628755,5539,-0.24133499445224138
absorb,long,5,-0.008863391044743606,0.04537503982596455,14003,-0.2020906391182808,1.073179466945302,0.33707062772263086,4718,-0.3119101296090191
atr_rank,short,8,0.8083333333333333,0.9125,13942,-0.20250353468494467,0.05663489144325326,0.317960120499211,5081,-0.23281932301453573
range_z,short,8,0.5189097831421345,1.2001701714283386,13958,-0.2026288900115291,0.05650953611666884,0.3350766585470698,5466,-0.2594307001122434
flow_eff,short,0,-inf,-0.0265187321343402,14015,-0.2039339547186493,0.05520447140954862,0.3289332857652515,4899,-0.2114902849218602
minofday,long,1,135.0,285.0,14609,-0.20436494754953347,1.0709051585140494,0.3467725374768978,5369,-0.31279786349140787
atr_rank,short,7,0.7,0.8083333333333333,13909,-0.20443939407014106,0.05469903205805687,0.32568840319217773,5230,-0.24091424477298712
absorb,short,5,-0.008954280613520861,0.04533994814295983,14003,-0.20480158364405726,0.05433684248414067,0.3327144183389274,4721,-0.2504439863009291
atr_pct,long,5,0.003875723410610083,0.0044286155396200105,14018,-0.20486046284064205,1.0704096432229409,0.32793551148523326,4066,-0.2031257149426655
range_rank,long,7,0.7041666666666667,0.8083333333333333,13963,-0.2051488758225512,1.0701212302410317,0.3319487216214281,5362,-0.30913435249745275
gap,long,1,-0.001097294371219905,-0.00024049429671831437,14017,-0.20535701698851686,1.069913089075066,0.3323821074409645,10058,-0.3816594664224953
dn_wick,long,2,0.07529147731442874,0.1303509191429681,14016,-0.20552456503125707,1.0697455410323258,0.3453909817351598,5328,-0.35537764175394515
atr_pct,short,8,0.006008275883744218,0.007703173336905255,14016,-0.20554940111116582,0.05358902501703211,0.3019406392694064,2012,0.07304034717469775
wick_skew,long,8,0.27883076610452817,0.4385609957172965,14015,-0.2056887956952929,1.06958131036829,0.3492686407420621,5126,-0.3429498919108768
range_per_trade,long,8,1.6481608059263098e-07,2.025880808256588e-07,14015,-0.2060471578516957,1.0692229482118871,0.33221548341063145,1496,-0.4524664407215136
hour,short,0,-inf,2.0,11686,-0.20617849658519177,0.05295992954300616,0.3410063323635119,4296,-0.28032212640191184
range_per_trade,long,7,1.4282159017412843e-07,1.6481608059263098e-07,14016,-0.2063495043160077,1.0689206017475752,0.3389697488584475,2851,-0.3810632665472451
trade_intensity,short,7,1.0507742097188832,1.3135444981422806,14007,-0.20678736007558418,0.05235106605261375,0.33868779895766404,4889,-0.29653060658512853
rv_vs_range,short,0,-inf,0.4604315608001059,14015,-0.20684918883051953,0.0522892372976784,0.33828041384231183,4350,-0.27497349341396937
since_hi96,short,1,6.0,16.0,14945,-0.20714874478264667,0.051989681345551264,0.3361659417865507,5551,-0.23455828603861836
to_hi96,short,2,2.261395316609395,3.0638118874746594,14007,-0.2072599691625301,0.05187845696566784,0.3415435139573071,5046,-0.3143368894356723
vol_per_trade_z,short,8,0.851910273388845,1.37550279759591,13958,-0.20730402264397077,0.05183440348422716,0.34059320819601663,4512,-0.2881684808845973
since_lo96,long,0,-inf,7.0,13340,-0.2080104234124561,1.067259682651127,0.3194152923538231,5762,-0.2964112858678848
