feature,thr,dir,n,frac,exp_r,lift,wr,monthly_R,pos_months,worst_month_R
dq_cum24,-0.6634954040440044,-1,725,0.21380123857269243,0.21555577537327866,0.07295574041697422,0.36689655172413793,2.3678475325095,0.4696969696969697,-10.055032312404164
disp24,2.609656644720742,1,1232,0.363314656443527,0.21540172368793647,0.07280168873163204,0.3944805194805195,4.020832175508147,0.4393939393939394,-17.23940800708824
since_lo96,77.0,1,992,0.2925390740194633,0.21509362211661728,0.07249358716031284,0.3911290322580645,3.3339511428075674,0.5,-16.512640849932
persist24,0.3899407640377659,1,1478,0.43585962842819226,0.21508991460277865,0.07248987964647421,0.37821380243572394,4.816710511862225,0.48484848484848486,-15.449210180051084
rpt_z,0.6104506920916885,1,642,0.18932468298437038,0.2149410229040747,0.07234098794777027,0.3660436137071651,2.0907899500669087,0.48484848484848486,-9.868493299528756
dq,-0.04461765710107503,-1,801,0.2362135063403126,0.2136976492508806,0.07109761429457617,0.37453183520599254,2.593512379544778,0.4393939393939394,-10.6686138415858
since_lo24,20.0,1,1064,0.3137717487466824,0.21350044113974645,0.07090040618344201,0.3825187969924812,3.441885899586216,0.5606060606060606,-17.072113577398486
atr_pct,0.01636152040532686,-1,741,0.21851961073429665,0.21324479413570105,0.07064475917939661,0.4048582995951417,2.821685579545616,0.4107142857142857,-17.75053058243575
tbi_ma96,-0.0026472034842730846,1,839,0.2474196402241227,0.21293537709577348,0.07033534213946904,0.36829558998808104,2.7485043289746756,0.4307692307692308,-16.313586167655135
tbi_ma24,-0.013900966022715766,-1,727,0.21439103509289295,0.2123155926688528,0.06971555771254836,0.3658872077028886,2.338688422276606,0.4696969696969697,-10.055032312404164
tbi_z24,0.13192643676761087,-1,1799,0.5305219699203775,0.21203219149208014,0.0694321565357757,0.36853807670928296,5.779483522640185,0.48484848484848486,-19.45357072997396
flow_eff,0.2959882589023797,-1,1042,0.30728398702447657,0.21201279535426112,0.06941276039795669,0.3800383877159309,3.3472323145324263,0.5757575757575758,-14.490278237981778
to_lo480,16.74971862368889,1,583,0.17192568563845473,0.2119652475839517,0.06936521262764725,0.4013722126929674,1.9615196720864105,0.42857142857142855,-24.304785239977544
tbi_ma8,-0.014192662465193163,-1,902,0.2659982306104394,0.21170065945283306,0.06910062449652862,0.369179600886918,2.893242345855385,0.45454545454545453,-12.610446331409241
since_hi96,2.0,-1,1028,0.30315541138307284,0.21157559710605991,0.06897556214975548,0.3968871595330739,3.3461494434619943,0.4461538461538462,-14.039323737550067
ats_z96,1.4935688472638855,1,1167,0.3441462695370097,0.2113624068977242,0.06876237194141976,0.39417309340188517,3.737271649237032,0.5757575757575758,-13.44291028439271
disp6,2.5514622658147275,1,739,0.21792981421409613,0.21130120509072894,0.0687011701344245,0.39242219215155616,2.4023321624930563,0.49230769230769234,-10.33290137420683
tbi,-0.02240562725754945,-1,805,0.23739309938071365,0.21129454679876428,0.06869451184245984,0.3739130434782609,2.577153184439473,0.4393939393939394,-10.6686138415858
to_lo96,7.815905937803766,1,1017,0.2999115305219699,0.2111539169988635,0.06855388204255905,0.39233038348082594,3.355367712310065,0.40625,-13.012200335333247
lo_pos,0.6108786610878661,1,1219,0.35948097906222354,0.21109248546286527,0.06849245050656083,0.3642329778506973,3.8988142390792833,0.45454545454545453,-16.86362939110016
pos480,0.20579632895128566,-1,862,0.25420230020642876,0.21060894714776865,0.06800891219146421,0.37703016241299303,2.9281437490544606,0.2903225806451613,-27.28320717904856
since_lo24,19.0,1,1174,0.3462105573577116,0.21050556324172512,0.06790552828542068,0.38245315161839866,3.744447443117959,0.5151515151515151,-18.09841685503036
atr_rank,0.5020833333333333,-1,1009,0.2975523444411678,0.20990379232026726,0.06730375736396282,0.39643211100099107,3.3092644757992136,0.546875,-18.737594727761966
tbi_ma96,-0.009834735997478517,-1,1024,0.3019758183426718,0.20950438694931717,0.06690435199301273,0.3671875,3.250492306607588,0.4090909090909091,-15.980671148422383
pos96,0.15735746337992956,-1,916,0.2701268062518431,0.20924883974552932,0.06664880478922489,0.38318777292576417,2.90412026071068,0.3333333333333333,-13.70771145655751
pos96,0.892556063522853,1,987,0.29106458271896196,0.209192204189921,0.06659216923361655,0.39918946301925023,3.176503162083877,0.4153846153846154,-17.275543109606808
dq_cum24,-0.013579380638012284,1,733,0.21616042465349455,0.20873691968839456,0.06613688473209012,0.37244201909959074,2.353910186639896,0.47692307692307695,-13.9939381024991
tbi_z96,-0.6666151219916321,-1,718,0.21173695075199056,0.20868232523114985,0.06608229027484541,0.3732590529247911,2.270210750241903,0.3787878787878788,-8.923472041600895
disp96,-6.321052971649496,-1,662,0.1952226481863757,0.20864968969517203,0.06604965473886759,0.3716012084592145,2.2278402351323203,0.22580645161290322,-13.161577393355024
tbi_ma24,-0.00035602773994793926,1,733,0.21616042465349455,0.20823009223554226,0.06563005727923782,0.37244201909959074,2.3481947324408066,0.46153846153846156,-13.9939381024991
dq,-0.014711157369682247,-1,1667,0.49159539958714243,0.20816940840810108,0.06556937345179664,0.367126574685063,5.257854603277342,0.5,-16.478964965482707
tbi,-0.007428456108668276,-1,1672,0.49306989088764375,0.20805675449173758,0.06545671953543314,0.3672248803827751,5.270771113790685,0.5,-16.478964965482707
persist96,0.1631430912521455,1,1622,0.4783249778826305,0.2076374300585397,0.06503739510223527,0.3785450061652281,5.1028471447719905,0.3939393939393939,-16.345789107189276
to_lo24,4.574910532522263,1,1073,0.31642583308758476,0.20725505667548047,0.06465502171917603,0.39049394221808015,3.4213027048121627,0.4461538461538462,-15.313746569838843
extreme_late,0.8786610878661087,1,1091,0.32173400176938954,0.2071387574879669,0.06453872253166246,0.38130155820348305,3.4240664305965436,0.4696969696969697,-13.748104328690225
extreme_late,0.8451882845188284,1,1261,0.3718667059864347,0.2069774813183324,0.06437744636202797,0.3782712133227597,3.954524302157836,0.5606060606060606,-14.470643210207616
tbi_z24,-0.3925286961448375,-1,1054,0.3108227661456797,0.2066979939249117,0.06409795896860726,0.36148007590132825,3.3009043272251053,0.4696969696969697,-10.276557663106129
rpt_z,0.8116377657757554,1,516,0.15216750221173694,0.2065127781733507,0.06391274321704626,0.36046511627906974,1.6145544475371059,0.5303030303030303,-9.208431591735007
lo_pos,0.6861924686192469,1,1046,0.3084635800648776,0.2064205199583961,0.06382048500209167,0.36424474187380496,3.271452482977004,0.4393939393939394,-11.506132881727467
persist24,0.3508489979229426,1,1735,0.5116484812739605,0.20635593308288702,0.06375589812658258,0.37579250720461094,5.424659756042559,0.5151515151515151,-20.639444167295736
dq_z96,-0.6663979433760853,-1,715,0.21085225597168977,0.2062131263788649,0.06361309142256047,0.37202797202797205,2.233975535771037,0.3787878787878788,-8.923472041600895
atr_rank,0.5583333333333333,-1,1164,0.34326157475670893,0.20576541180899102,0.06316537685268658,0.39347079037800686,3.7423584272760246,0.515625,-21.445976965809123
to_lo96,2.136092455769393,-1,1133,0.3341197286936007,0.20558790307490685,0.06298786811860241,0.37422771403353927,3.5292590027859005,0.3333333333333333,-16.08783328705754
absorb,-0.013427742282029195,-1,1479,0.4361545266882925,0.20557002040222944,0.062969985445925,0.36578769438810005,4.606637275377232,0.45454545454545453,-18.49049451813228
flow_eff,0.9860497618100217,-1,1838,0.5420230020642878,0.2051559836076289,0.06255594865132447,0.3808487486398259,5.713283301073058,0.5303030303030303,-19.334615969546945
persist96,0.2845389593170849,1,587,0.1731052786788558,0.20504027440255992,0.062440239446255486,0.3730834752981261,1.8516714011431183,0.24615384615384617,-14.346840648848083
dq_z96,0.013094795769238256,-1,1584,0.4671188439988204,0.20503087628207717,0.06243084132577273,0.3648989898989899,4.920741030769851,0.48484848484848486,-23.695756123193082
since_lo96,53.0,1,1525,0.44971984665290476,0.2046579153656603,0.062057880409355864,0.3842622950819672,4.728838195948968,0.45454545454545453,-22.527228503863267
dn_wick,0.24404541808506391,1,1478,0.43585962842819226,0.20453655459037193,0.06193651963406749,0.36265223274695535,4.580379207341966,0.5151515151515151,-18.458679283509646
dn_wick,0.3033494895949621,1,1232,0.363314656443527,0.20443930352873751,0.061839268572433076,0.3628246753246753,3.8162003325364333,0.5303030303030303,-15.322556135071538
to_lo96,6.698899870770856,1,1292,0.3810085520495429,0.2041519008350993,0.061551865878794854,0.38544891640866874,4.057911628906898,0.4461538461538462,-19.343734815554257
dn_wick,0.1897435897435969,1,1812,0.534355647301681,0.20413931405271746,0.06153927909641302,0.36368653421633557,5.60455207672006,0.5303030303030303,-22.798409459005054
ats_rank480,0.83125,1,1516,0.44706576231200235,0.20383420509158232,0.06123417013527788,0.3812664907651715,4.828322733106857,0.5625,-22.380056270937832
tbi_z96,0.013286454640581109,-1,1586,0.46770864051902095,0.20376512987337908,0.06116509491707464,0.3644388398486759,4.896537817866352,0.48484848484848486,-23.695756123193082
since_hi96,30.0,-1,1662,0.4901209082866411,0.2037363166994737,0.06113628174316926,0.3760529482551143,5.130450884159473,0.5151515151515151,-23.573162809258633
dq_z96,-0.11306332710682344,-1,1402,0.4134473606605721,0.20332905509983115,0.06072902014352671,0.3637660485021398,4.319202049241866,0.48484848484848486,-15.459855882326298
